Date,Nifty 50_Open,Nifty 50_High,Nifty 50_Low,Nifty 50_Close,Nifty 50_Volume
13-12-2007,6159.3,6185.4,6040.4,6058.1,120310000
14-12-2007,6056.2,6078.6,6015.1,6047.7,100560000
17-12-2007,6038.0,6040.0,5740.6,5777.0,108210000
18-12-2007,5777.6,5874.6,5710.6,5742.3,109460000
19-12-2007,5730.3,5840.8,5676.7,5751.2,88360000
20-12-2007,5751.8,5799.5,5742.8,5766.5,79150000
24-12-2007,5771.3,6001.1,5771.3,5985.1,100420000
26-12-2007,5988.5,6085.3,5988.5,6070.8,90830000
27-12-2007,6069.0,6110.9,6060.2,6081.5,149990000
28-12-2007,6079.6,6098.6,6021.9,6079.7,79580000
31-12-2007,6095.0,6167.8,6095.0,6138.6,85020000
01-01-2008,6136.8,6165.4,6109.9,6144.4,81310000
02-01-2008,6144.7,6197.0,6060.9,6179.4,110350000
03-01-2008,6184.3,6230.2,6126.4,6178.6,156360000
04-01-2008,6179.1,6300.1,6179.1,6274.3,147630000
07-01-2008,6271.0,6289.8,6193.4,6279.1,139610000
08-01-2008,6282.5,6357.1,6221.6,6287.9,162560000
09-01-2008,6287.6,6338.3,6231.3,6272.0,120850000
10-01-2008,6278.1,6347.0,6142.9,6157.0,133660000
11-01-2008,6166.7,6224.2,6112.6,6200.1,125140000
14-01-2008,6208.8,6244.2,6172.0,6206.8,110910000
15-01-2008,6226.4,6260.5,6053.3,6074.3,117680000
16-01-2008,6065.0,6065.0,5825.8,5935.8,152500000
17-01-2008,5938.0,6013.2,5880.3,5913.2,127180000
18-01-2008,5907.8,5908.8,5677.0,5705.3,135740000
21-01-2008,5705.0,5705.0,4977.1,5208.8,211340000
22-01-2008,5203.4,5203.4,4448.5,4899.3,200600000
23-01-2008,4903.1,5328.1,4891.6,5203.4,172630000
24-01-2008,5208.0,5357.2,4995.8,5033.5,145350000
25-01-2008,5035.1,5399.3,5035.1,5383.4,105880000
28-01-2008,5381.0,5381.0,5071.0,5274.1,94470000
29-01-2008,5279.6,5391.6,5225.3,5280.8,98430000
30-01-2008,5283.8,5314.3,5142.3,5167.6,101260000
31-01-2008,5172.3,5251.7,5071.2,5137.5,187490000
01-02-2008,5140.6,5340.0,5090.8,5317.3,106700000
04-02-2008,5315.6,5545.2,5315.6,5463.5,105720000
05-02-2008,5463.8,5500.6,5413.0,5483.9,96490000
06-02-2008,5470.4,5470.4,5257.1,5322.6,106120000
07-02-2008,5322.6,5344.6,5113.9,5133.3,103090000
08-02-2008,5132.1,5173.9,5034.3,5120.4,108950000
11-02-2008,5120.6,5126.4,4803.6,4857.0,125730000
12-02-2008,4877.9,4949.6,4820.5,4838.3,102360000
13-02-2008,4836.6,4986.6,4836.6,4929.5,104070000
14-02-2008,4944.7,5220.3,4944.7,5202.0,106430000
15-02-2008,5202.9,5315.4,5104.8,5302.9,110540000
18-02-2008,5304.5,5348.6,5224.0,5276.9,77580000
19-02-2008,5278.4,5368.5,5262.0,5280.8,88670000
20-02-2008,5267.2,5267.2,5116.3,5154.5,89870000
21-02-2008,5156.9,5241.4,5120.1,5191.8,89880000
22-02-2008,5183.4,5184.0,5092.8,5110.8,72070000
25-02-2008,5112.3,5212.4,5055.2,5200.7,78360000
26-02-2008,5200.8,5281.2,5200.8,5270.1,86100000
27-02-2008,5271.4,5368.2,5249.8,5268.4,89570000
28-02-2008,5266.4,5302.9,5227.2,5285.1,107980000
29-02-2008,5285.0,5290.8,5098.4,5223.5,165090000
03-03-2008,5222.8,5222.8,4936.1,4953.0,150740000
04-03-2008,4958.6,4976.7,4813.0,4864.3,150840000
05-03-2008,4866.9,4936.8,4847.3,4921.4,114720000
07-03-2008,4918.3,4918.3,4672.3,4771.6,145780000
10-03-2008,4767.8,4815.0,4620.5,4800.4,155880000
11-03-2008,4796.3,4888.5,4732.9,4865.9,158760000
12-03-2008,4869.8,5019.2,4854.8,4872.0,135040000
13-03-2008,4868.7,4868.8,4580.2,4623.6,137640000
14-03-2008,4623.8,4759.0,4607.6,4745.8,135570000
17-03-2008,4745.5,4745.5,4482.1,4503.1,143350000
18-03-2008,4519.9,4618.0,4468.6,4533.0,169440000
19-03-2008,4534.8,4718.4,4533.9,4574.0,158510000
24-03-2008,4576.8,4649.5,4539.8,4609.9,123980000
25-03-2008,4616.8,4896.8,4616.8,4877.5,142370000
26-03-2008,4878.7,4912.3,4808.7,4828.9,126100000
27-03-2008,4828.8,4863.8,4769.6,4830.3,180120000
28-03-2008,4830.0,4970.8,4796.4,4942.0,162590000
31-03-2008,4942.2,4947.0,4703.9,4734.5,147200000
01-04-2008,4735.7,4800.8,4628.8,4739.6,119880000
02-04-2008,4741.4,4916.8,4741.4,4754.2,114660000
03-04-2008,4753.9,4833.3,4738.2,4771.6,124590000
04-04-2008,4766.7,4791.7,4632.7,4647.0,131510000
07-04-2008,4631.4,4798.6,4628.8,4761.2,124930000
08-04-2008,4760.7,4769.6,4677.8,4709.7,113750000
09-04-2008,4707.1,4758.3,4667.5,4747.1,101410000
10-04-2008,4747.6,4799.5,4720.9,4733.0,150140000
11-04-2008,4734.4,4817.4,4727.3,4777.8,132770000
15-04-2008,4780.0,4917.1,4708.3,4879.7,152080000
16-04-2008,4881.7,4951.4,4874.1,4887.3,137210000
17-04-2008,4890.6,4985.0,4889.7,4958.4,135280000
21-04-2008,4955.9,5053.4,4955.9,5037.0,110420000
22-04-2008,5037.1,5074.3,4994.1,5049.3,126750000
23-04-2008,5044.4,5083.5,5003.6,5022.8,144560000
24-04-2008,5022.9,5072.7,4991.4,4999.9,154290000
25-04-2008,4999.2,5117.7,4999.2,5111.7,134450000
28-04-2008,5112.5,5147.5,5079.2,5089.7,110780000
29-04-2008,5092.4,5210.9,5082.2,5195.5,214910000
30-04-2008,5198.4,5230.8,5155.9,5165.9,146210000
02-05-2008,5265.3,5298.9,5197.6,5228.2,131240000
05-05-2008,5227.3,5254.5,5182.6,5192.3,125630000
06-05-2008,5192.4,5206.5,5110.9,5144.7,131310000
07-05-2008,5156.7,5159.1,5101.3,5135.5,153380000
08-05-2008,5135.8,5143.1,5062.5,5081.7,127170000
09-05-2008,5070.9,5087.7,4969.4,4982.6,142290000
12-05-2008,4981.0,5021.8,4913.8,5012.7,150700000
13-05-2008,5008.6,5066.0,4943.8,4957.8,158380000
14-05-2008,4958.5,5026.1,4932.1,5011.8,147690000
15-05-2008,5010.9,5118.6,4999.6,5115.3,150790000
16-05-2008,5115.7,5167.4,5106.4,5157.7,153200000
20-05-2008,5157.0,5160.1,5072.4,5105.0,157360000
21-05-2008,5105.7,5135.6,5048.7,5117.7,163030000
22-05-2008,5117.0,5118.9,5010.7,5025.5,113500000
23-05-2008,5026.6,5059.1,4940.7,4946.6,152370000
26-05-2008,4953.6,4953.6,4858.0,4875.1,124350000
27-05-2008,4877.2,4932.0,4846.2,4859.8,120400000
28-05-2008,4862.7,4926.9,4835.7,4918.4,140740000
29-05-2008,4926.3,4957.4,4801.9,4835.3,194900000
30-05-2008,4844.1,4908.9,4833.5,4870.1,138620000
02-06-2008,4869.3,4908.8,4713.0,4739.6,118400000
03-06-2008,4739.3,4739.3,4634.0,4715.9,140730000
04-06-2008,4718.7,4731.5,4564.5,4585.6,154820000
05-06-2008,4587.0,4690.6,4536.3,4677.0,168870000
06-06-2008,4680.6,4746.3,4614.3,4627.8,132090000
09-06-2008,4626.5,4626.5,4411.6,4501.0,175250000
10-06-2008,4522.0,4522.6,4369.8,4449.8,165410000
11-06-2008,4469.7,4541.1,4468.1,4523.6,166120000
12-06-2008,4524.4,4550.0,4392.0,4539.4,163970000
13-06-2008,4539.5,4563.4,4491.4,4517.1,139530000
16-06-2008,4536.3,4617.7,4536.3,4572.5,111420000
17-06-2008,4572.5,4664.1,4561.8,4653.0,107120000
18-06-2008,4652.8,4679.8,4569.9,4582.4,136860000
19-06-2008,4582.6,4585.7,4489.0,4504.3,102140000
20-06-2008,4504.2,4532.0,4333.6,4347.6,133100000
23-06-2008,4351.2,4351.2,4225.5,4266.4,126310000
24-06-2008,4271.1,4305.9,4156.1,4191.1,132370000
25-06-2008,4189.6,4264.6,4093.2,4252.7,151940000
26-06-2008,4252.6,4324.8,4230.0,4315.9,195950000
27-06-2008,4315.3,4315.3,4119.2,4136.7,177160000
30-06-2008,4136.3,4163.0,4021.7,4040.6,144490000
01-07-2008,4039.8,4075.4,3878.2,3896.8,164470000
02-07-2008,3895.3,4107.2,3848.3,4093.4,199760000
03-07-2008,4094.6,4097.4,3874.9,3925.8,154490000
04-07-2008,3926.7,4033.5,3896.4,4016.0,152040000
07-07-2008,4002.0,4114.5,4002.0,4030.0,125740000
08-07-2008,4028.7,4028.7,3896.1,3988.6,135090000
